11:05:45 | LOCK_ACQUIRED | sim=0.77
11:05:45 | MOVE_RIGHT | nose_x=0.47
11:05:46 | MOVE_RIGHT | nose_x=0.46
11:05:47 | MOVE_RIGHT | nose_x=0.48
11:05:49 | MOVE_RIGHT | nose_x=0.39
11:05:50 | MOVE_RIGHT | nose_x=0.47
11:05:51 | MOVE_RIGHT | nose_x=0.43
11:05:51 | SMILE | ratio=0.45
11:05:51 | MOVE_RIGHT | nose_x=0.44
11:05:52 | SMILE | ratio=0.47
11:05:52 | MOVE_RIGHT | nose_x=0.45
11:05:52 | SMILE | ratio=0.49
11:05:52 | MOVE_RIGHT | nose_x=0.50
11:05:52 | SMILE | ratio=0.47
11:05:53 | MOVE_RIGHT | nose_x=0.49
11:05:53 | LOCK_LOST | Target disappeared
11:05:55 | LOCK_ACQUIRED | sim=0.59
11:05:56 | MOVE_RIGHT | nose_x=0.50
11:05:58 | MOVE_RIGHT | nose_x=0.50
11:05:59 | MOVE_RIGHT | nose_x=0.43
11:06:00 | MOVE_LEFT | nose_x=0.65
11:06:00 | SMILE | ratio=0.48
11:06:00 | MOVE_LEFT | nose_x=0.63
11:06:00 | SMILE | ratio=0.47
11:06:00 | MOVE_RIGHT | nose_x=0.43
11:06:01 | MOVE_RIGHT | nose_x=0.43
11:06:02 | MOVE_RIGHT | nose_x=0.42
11:06:03 | MOVE_RIGHT | nose_x=0.42
11:06:04 | MOVE_RIGHT | nose_x=0.41
11:06:06 | MOVE_RIGHT | nose_x=0.41
11:06:07 | MOVE_RIGHT | nose_x=0.42
11:06:08 | MOVE_RIGHT | nose_x=0.41
11:06:09 | MOVE_RIGHT | nose_x=0.41
11:06:10 | MOVE_RIGHT | nose_x=0.42
11:06:11 | MOVE_RIGHT | nose_x=0.42
11:06:12 | MOVE_RIGHT | nose_x=0.43
11:06:14 | MOVE_RIGHT | nose_x=0.41
11:06:16 | SMILE | ratio=0.46
11:06:18 | LOCK_LOST | Target disappeared
11:06:20 | LOCK_ACQUIRED | sim=0.48
11:06:21 | MOVE_RIGHT | nose_x=0.44
11:06:22 | MOVE_RIGHT | nose_x=0.31
11:06:23 | MOVE_RIGHT | nose_x=0.32
11:06:24 | MOVE_RIGHT | nose_x=0.36
11:06:24 | SMILE | ratio=0.45
11:06:24 | MOVE_RIGHT | nose_x=0.38
11:06:25 | MOVE_RIGHT | nose_x=0.40
11:06:27 | MOVE_RIGHT | nose_x=0.39
11:06:28 | MOVE_RIGHT | nose_x=0.43
11:06:28 | BLINK | EAR=0.21
11:06:28 | MOVE_RIGHT | nose_x=0.44
11:06:29 | BLINK | EAR=0.20
11:06:29 | MOVE_RIGHT | nose_x=0.44
11:06:30 | LOCK_LOST | Target disappeared
11:06:31 | LOCK_ACQUIRED | sim=0.50
11:06:31 | MOVE_RIGHT | nose_x=0.35
11:06:32 | BLINK | EAR=0.22
11:06:32 | MOVE_RIGHT | nose_x=0.48
11:06:32 | BLINK | EAR=0.17
11:06:33 | MOVE_RIGHT | nose_x=0.42
11:06:34 | MOVE_RIGHT | nose_x=0.38
11:06:35 | MOVE_RIGHT | nose_x=0.38
11:06:36 | MOVE_RIGHT | nose_x=0.38
11:06:37 | MOVE_RIGHT | nose_x=0.40
11:06:38 | MOVE_RIGHT | nose_x=0.42
11:06:39 | MOVE_LEFT | nose_x=0.70
11:06:42 | LOCK_LOST | Target disappeared
11:06:43 | LOCK_ACQUIRED | sim=0.62
11:06:44 | MOVE_RIGHT | nose_x=0.40
11:06:45 | MOVE_RIGHT | nose_x=0.45
11:06:46 | MOVE_RIGHT | nose_x=0.48
11:06:47 | MOVE_LEFT | nose_x=0.61
11:06:49 | MOVE_LEFT | nose_x=0.90
11:06:51 | MOVE_RIGHT | nose_x=0.36
11:06:52 | LOCK_LOST | Target disappeared
11:07:10 | LOCK_ACQUIRED | sim=0.56
11:07:11 | MOVE_RIGHT | nose_x=0.46
11:07:12 | MOVE_RIGHT | nose_x=0.43
11:07:13 | MOVE_LEFT | nose_x=0.61
11:07:15 | MOVE_RIGHT | nose_x=0.46
11:07:16 | MOVE_RIGHT | nose_x=0.46
11:07:17 | MOVE_LEFT | nose_x=0.94
11:07:17 | LOCK_LOST | Target disappeared
11:07:17 | LOCK_ACQUIRED | sim=0.43
11:07:18 | MOVE_RIGHT | nose_x=0.43
11:07:19 | MOVE_LEFT | nose_x=0.63
11:07:20 | SMILE | ratio=0.45
11:07:20 | BLINK | EAR=0.10
11:07:21 | MOVE_RIGHT | nose_x=0.46
11:07:23 | LOCK_LOST | Target disappeared
11:07:24 | LOCK_ACQUIRED | sim=0.57
11:07:26 | MOVE_RIGHT | nose_x=0.48
11:07:27 | MOVE_RIGHT | nose_x=0.30
11:07:28 | MOVE_LEFT | nose_x=0.62
11:07:30 | MOVE_LEFT | nose_x=0.62
11:07:34 | MOVE_RIGHT | nose_x=0.49
11:07:36 | MOVE_RIGHT | nose_x=0.44
11:07:36 | SMILE | ratio=0.45
11:07:36 | MOVE_RIGHT | nose_x=0.45
11:07:37 | MOVE_RIGHT | nose_x=0.47
11:07:39 | MOVE_LEFT | nose_x=0.61
11:07:39 | MOVE_RIGHT | nose_x=0.48
11:07:40 | MOVE_RIGHT | nose_x=0.47
11:07:41 | MOVE_RIGHT | nose_x=0.48
11:07:43 | MOVE_RIGHT | nose_x=0.37
11:07:44 | LOCK_LOST | Target disappeared
11:07:46 | LOCK_ACQUIRED | sim=0.42
11:07:46 | MOVE_RIGHT | nose_x=0.33
11:07:47 | LOCK_LOST | Target disappeared
11:07:49 | LOCK_ACQUIRED | sim=0.45
11:07:50 | MOVE_RIGHT | nose_x=0.27
11:07:51 | MOVE_RIGHT | nose_x=0.29
11:07:52 | MOVE_RIGHT | nose_x=0.29
11:07:53 | MOVE_RIGHT | nose_x=0.28
11:07:54 | MOVE_RIGHT | nose_x=0.29
11:07:55 | MOVE_RIGHT | nose_x=0.30
11:07:56 | MOVE_RIGHT | nose_x=0.30
11:07:57 | MOVE_RIGHT | nose_x=0.30
11:07:58 | MOVE_RIGHT | nose_x=0.33
11:07:59 | MOVE_RIGHT | nose_x=0.39
11:08:01 | MOVE_RIGHT | nose_x=0.39
